species,Brain size species mean,Body mass male mean,Body mass female mean,MeanGroupSize,InterbirthInterval (days),Gestation,WeaningAge_d,MaxLongevity_m,HomeRange_km2,,,
Colobus_vellerosus,73.07,8420.0,7220.0,,,,,,0.290,,,
Daubentonia_madagascariensis,44.85,2620.0,2490.0,1,760.41,167,197.7,291.6,0.356,,,
Erythrocebus_patas,97.73,12400.0,6500.0,28.2,365,167,211.79,286.8,28.240,,,
Eulemur_albifrons,21.45,2390.0,2281.0,9,,,,,0.130,,,
Eulemur_albocollaris,22.10,2150.0,2130.0,,,,,,,,,
Eulemur_collaris,,,,7,,,,,0.700,,,
Eulemur_coronatus,20.65,1280.0,1080.0,9.25,,126,,220.8,0.123,,,
Eulemur_fulvus,25.77,2250.0,2333.3,8.9,547.5,118,134.64,444,0.162,,,
Eulemur_macaco,24.51,2350.0,2430.0,10,365,127,143.28,360,0.053,,,
Eulemur_mongoz,20.17,1143.3,1281.5,2.93,365,128,151.13,360,0.042,,,
Eulemur_rubriventer,26.23,1980.0,1940.0,3,,130,151.22,240,0.200,,,
Eulemur_rufus,25.40,2170.0,2270.0,9.17,,,,,0.584,,,
Eulemur_sanfordi,,1870.0,1830.0,5,,,,,0.070,,,
Euoticus_elegantulus,5.53,287.0,261.0,,182,122,60,180,,,,
Galago_matschiei,4.62,207.0,212.0,,,,,,,,,
Galago_moholi,3.71,149.6,147.2,1,182.5,123,90.46,198,0.040,,,
Galago_senegalensis,3.96,200.3,188.0,1,219,126,93.93,204,0.080,,,
Galagoides_demidoff,2.65,76.2,73.1,10,365,111,43.47,168,0.010,,,
Galagoides_zanzibaricus,3.51,149.0,137.0,,182.5,120,59.27,,0.010,,,
Gorilla_beringei,491.27,162500.0,97500.0,,,,,,,,,
Gorilla_gorilla,490.41,170400.0,71500.0,7.1,1430.8,256,920.35,648,4.030,,,
Hapalemur_aureus,,,,3,365,142.5,135,,0.210,,,
Hapalemur_griseus,14.09,748.0,670.0,4.4,334.58,140,136.29,205.2,0.010,,,
Hapalemur_griseus_alaotrensis,13.80,1228.0,1251.0,,,,,,,,,
Hapalemur_simus,,2150.0,1300.0,7,,142,,144,0.620,,,
Hylobates_agilis,91.16,5880.0,5820.0,,1138,,724,528,0.290,,,
Hylobates_klossii,87.99,5670.0,5920.0,,,213,335,444,0.320,,,
Hylobates_lar,101.87,5809.2,5380.9,3.3,983.67,217,725.86,480,0.320,,,
Hylobates_moloch,,6580,6250,,730,243,724,540,0.120,,,
Hylobates_muelleri,85.13,5632.3,6010.3,,1095,206.7,,684,0.260,,,
Hylobates_pileatus,84.69,5500.0,5440.0,,,228,635.13,432,0.230,,,
Indri_indri,34.81,5830.0,6840.0,3.2,912.5,136.5,331.34,,0.120,,,
Lagothrix_lagotricha,96.50,7280.0,7020.0,33.1,638.75,223,312.66,360,2.820,,,
Lemur_catta,22.90,2210.0,2210.0,17,468.41,135,126.51,360,0.050,,,
Leontopithecus_chrysomelas,11.84,610.0,700.0,6.7,,,,255.6,0.240,,,
Leontopithecus_chrysopygus,,,,3.6,,,,214.8,0.830,,,
Leontopithecus_rosalia,12.83,620.0,598.0,5.4,182.5,128,75.69,297.6,0.260,,,
Lepilemur_dorsalis,6.70,817.0,923.0,1,,,,,,,,
Lepilemur_edwardsi,7.25,928.0,934.0,2,,,,,0.008,,,
Lepilemur_leucopus,6.87,617.0,594.0,1,,135.92,121.66,103,0.002,,,
Lepilemur_microdon,,,,,,,,,,,,
Lepilemur_mustelinus,,,,1,,135,76.21,144,0.003,,,
Lepilemur_ruficaudatus,8.25,806.0,803.0,1,,135.92,119.32,,0.008,,,
